week,QQQ_1M_shock_score,QQQ_1W_shock_score,SP_1M_shock_score,SP_1W_shock_score
2024-05-20,0.5443565523200548,0.14259938645698156,0.16211721071748636,0.9438099223532154
2024-05-27,1.4266040419829218,0.2573071530574228,0.266936831319443,1.310967448875027
2024-06-03,1.4638981496853467,1.8792339004187106,0.5801634938474008,2.365496444260945
2024-06-10,1.1272498906507888,2.1401682831908926,0.4188193094044998,2.359718239911227
2024-06-17,1.7952020946762772,2.1270090272822126,1.7380606269697028,2.3694959905693254
2024-06-24,1.879232840207722,2.0146711545254274,2.230524952163161,2.1744591028412805
2024-07-01,1.1246089391201606,1.7825271196238628,1.176033529937409,1.9790610469417065
2024-07-08,0.7787807398387653,0.9215217383560174,1.2081864269580518,1.3616741704536812
2024-07-15,0.7212957652230579,0.4449773802688147,1.1105248311798994,0.838304738831315
2024-07-22,1.0481739674702253,0.11965639165728154,1.1725212559024822,0.5069849064248634
2024-07-29,1.425948407107609,0.34334882472006667,1.2154320362573403,0.9208417518883447
2024-08-05,1.5973191670794504,0.15249693430005543,1.364256638744158,0.8745447347183896
2024-08-12,1.8200692215135208,0.1181032286170991,1.4050479268172662,0.7841199621734642
2024-08-19,1.63831991125882,0.08945367112308758,1.2708906053873512,0.658610648849373
2024-08-26,1.5444977899522503,0.2395429492955113,1.1488492072138101,0.7261101108636578
2024-09-02,1.6395922822937132,1.7298103723724458,1.0926514680336568,0.9384600947926701
2024-09-09,2.3093257180671913,0.8536423075132967,1.9128892948036043,0.09738596552122003
2024-09-16,2.069248408676778,0.9562361293860412,1.83352573880377,0.22423927377669972
2024-09-23,1.8836001336999235,1.273655373522137,1.692504783807572,0.6121000847648954
2024-09-30,2.042621179375146,0.5956053172207613,1.8917891793441173,0.19821087621235378
2024-10-07,1.6350317098029916,0.43958036138646134,1.2981077842887845,0.4524570230514141
2024-10-14,1.0217879591353611,1.0435716161785293,0.5791069259549214,0.016476339278041784
2024-10-21,0.9552675800958839,0.7658382655372236,0.6542723221617264,0.08753093686838866
2024-10-28,1.5442223620096909,0.9241915830440417,1.5652908560013914,0.8916748574198335
2024-11-04,1.4806407601158866,0.13896419415830316,1.5617520961337577,0.41851971524207837
2024-11-11,1.750346814134918,1.2385272420945235,2.0358555660545,0.5810750348971626
2024-11-18,1.6494047915688324,0.7958372268075109,1.5460566473256228,0.06627316080547205
2024-11-25,0.9570817997457055,0.6553366545238655,0.3705515240722676,0.9922928078396708
2024-12-02,0.7384525329807193,0.9623136879715936,0.6038545637491275,0.5221027205369246
2024-12-09,0.15168144001568118,1.4769964595766498,0.6043507030539056,0.9953995324333458
2024-12-16,0.23416988867292385,2.0447709145174873,0.32786832093969914,1.935050134937494
2024-12-23,0.028386309690840484,1.2961159328965781,0.6619452069834437,0.6658359832009069
